,month,month_long,Daily Average POA Irradiance (kWh/m2/day),DC Array Output (kWh),AC System Output (kWh),location,country,latitude,longitude,Country,electricity_consumption,excess_energy,bitcoin_earnings_usd,grid_earnings,bitcoin_earnings_eur,difference
0,1,Jan,3.038,320.077,303.968,Lisbon,Portugal,38.73,-9.14,Portugal,330,0.0,0.0,0.0,0.0,0.0
1,2,Feb,3.828,361.12,343.923,Lisbon,Portugal,38.73,-9.14,Portugal,310,51.120000000000005,4.342750588084917,2.4282000000000004,3.845939920808003,1.4177399208080028
2,3,Mar,5.087,526.061,501.616,Lisbon,Portugal,38.73,-9.14,Portugal,290,236.06100000000004,24.855426783588513,11.212897500000002,22.01196595954599,10.799068459545987
3,4,Apr,6.038,593.451,566.425,Lisbon,Portugal,38.73,-9.14,Portugal,270,323.451,36.72523451425555,15.363922500000001,32.52386768582471,17.15994518582471
4,5,May,6.791,684.574,653.497,Lisbon,Portugal,38.73,-9.14,Portugal,260,424.57399999999996,44.55340560691993,20.167264999999997,39.45649600548829,19.289231005488293
5,6,Jun,7.425,716.44,684.395,Lisbon,Portugal,38.73,-9.14,Portugal,280,436.44000000000005,49.293946722965444,20.730900000000002,43.6547192178582,22.9238192178582
6,7,Jul,8.085,792.642,757.675,Lisbon,Portugal,38.73,-9.14,Portugal,330,462.64200000000005,49.444916239410496,21.975495000000002,43.78841782162194,21.81292282162194
7,8,Aug,7.702,761.024,727.437,Lisbon,Portugal,38.73,-9.14,Portugal,350,411.024,41.87017720564303,19.52364,37.08022893331747,17.55658893331747
8,9,Sep,6.377,611.853,584.53,Lisbon,Portugal,38.73,-9.14,Portugal,300,311.85299999999995,29.158094900394666,14.813017499999997,25.822408843789518,11.00939134378952
9,10,Oct,4.622,472.337,450.236,Lisbon,Portugal,38.73,-9.14,Portugal,280,192.337,18.802430432984316,9.1360075,16.65143239145091,7.515424891450911
10,11,Nov,3.123,318.454,302.77,Lisbon,Portugal,38.73,-9.14,Portugal,300,18.454000000000008,1.9926596287090637,0.8765650000000004,1.7646993671847468,0.8881343671847465
