month,month_long,Daily Average POA Irradiance (kWh/m2/day),DC Array Output (kWh),AC System Output (kWh),location,country,latitude,longitude
1,Jan,3.038,320.077,303.968,Lisbon,Portugal,38.73,-9.14
2,Feb,3.828,361.12,343.923,Lisbon,Portugal,38.73,-9.14
3,Mar,5.087,526.061,501.616,Lisbon,Portugal,38.73,-9.14
4,Apr,6.038,593.451,566.425,Lisbon,Portugal,38.73,-9.14
5,May,6.791,684.574,653.497,Lisbon,Portugal,38.73,-9.14
6,Jun,7.425,716.44,684.395,Lisbon,Portugal,38.73,-9.14
7,Jul,8.085,792.642,757.675,Lisbon,Portugal,38.73,-9.14
8,Aug,7.702,761.024,727.437,Lisbon,Portugal,38.73,-9.14
9,Sep,6.377,611.853,584.53,Lisbon,Portugal,38.73,-9.14
10,Oct,4.622,472.337,450.236,Lisbon,Portugal,38.73,-9.14
11,Nov,3.123,318.454,302.77,Lisbon,Portugal,38.73,-9.14
12,Dec,2.491,264.911,251.193,Lisbon,Portugal,38.73,-9.14
1,Jan,0.648,72.168,66.053,Berlin,Germany,52.53,13.38
2,Feb,1.328,133.243,124.514,Berlin,Germany,52.53,13.38
3,Mar,2.81,300.315,284.147,Berlin,Germany,52.53,13.38
4,Apr,5.236,529.291,504.234,Berlin,Germany,52.53,13.38
5,May,5.172,527.036,501.039,Berlin,Germany,52.53,13.38
6,Jun,5.891,571.618,543.699,Berlin,Germany,52.53,13.38
7,Jul,5.837,578.78,550.745,Berlin,Germany,52.53,13.38
8,Aug,5.061,505.776,480.976,Berlin,Germany,52.53,13.38
9,Sep,3.538,351.654,333.493,Berlin,Germany,52.53,13.38
10,Oct,2.505,266.2,251.941,Berlin,Germany,52.53,13.38
11,Nov,0.708,73.761,67.604,Berlin,Germany,52.53,13.38
12,Dec,0.453,48.395,43.474,Berlin,Germany,52.53,13.38
1,Jan,0.92,102.442,94.827,Wien,Austria,48.21,16.38
2,Feb,2.586,255.619,242.321,Wien,Austria,48.21,16.38
3,Mar,3.517,371.986,353.25,Wien,Austria,48.21,16.38
4,Apr,4.932,491.72,468.071,Wien,Austria,48.21,16.38
5,May,5.331,539.45,513.304,Wien,Austria,48.21,16.38
6,Jun,6.019,577.073,549.171,Wien,Austria,48.21,16.38
7,Jul,5.892,575.841,548.054,Wien,Austria,48.21,16.38
8,Aug,5.41,529.578,504.054,Wien,Austria,48.21,16.38
9,Sep,4.19,409.426,389.261,Wien,Austria,48.21,16.38
10,Oct,2.812,295.779,280.359,Wien,Austria,48.21,16.38
11,Nov,1.207,125.199,116.81,Wien,Austria,48.21,16.38
12,Dec,0.963,104.189,96.716,Wien,Austria,48.21,16.38
1,Jan,0.775,86.988,80.269,Warsaw,Poland,52.25,21.02
